eval_idx,layer_idx,big_layer_idx,k_mse,v_mse,k_cos,v_cos,k_mse_identity,v_mse_identity,k_cos_identity,v_cos_identity
0,0,0,0.6524022817611694,0.023758307099342346,0.9999314546585083,0.9252857565879822,5256.09423828125,0.23738832771778107,-0.12579143047332764,-0.00266812602058053
0,1,1,0.3441874086856842,0.03060780093073845,0.9981894493103027,0.8766319155693054,117.42863464355469,0.19890113174915314,-0.015733394771814346,-0.013088761828839779
0,2,3,0.5342323780059814,0.12419082969427109,0.9547376036643982,0.7476837038993835,8.718875885009766,0.5128825306892395,-0.01839960366487503,-0.006321852095425129
0,3,4,0.524986982345581,0.154854416847229,0.9203947186470032,0.7276685237884521,6.625728607177734,0.5327105522155762,-0.03743261843919754,0.01335190050303936
0,4,5,0.6487495303153992,0.2734340727329254,0.8720245361328125,0.6167417168617249,5.8127970695495605,0.6774113178253174,-0.012704398483037949,2.465990837663412e-05
0,5,6,0.495769202709198,0.32105106115341187,0.8903158903121948,0.6551349759101868,5.631042957305908,0.882533073425293,-0.10536272823810577,-0.0037021967582404613
0,6,8,0.8784531950950623,0.19793717563152313,0.8451183438301086,0.696418285369873,5.330435752868652,0.7468523383140564,0.012238288298249245,0.009915320202708244
0,7,9,0.5222613215446472,0.20926710963249207,0.9743055105209351,0.6385155916213989,13.108545303344727,0.6751891374588013,-0.022298047319054604,-0.0002686296356841922
0,8,10,0.7175691723823547,0.25670725107192993,0.8802682757377625,0.6919041275978088,5.599274635314941,0.9419851303100586,0.025553513318300247,-0.0008241782779805362
0,9,12,0.6101633906364441,0.24396780133247375,0.8933566808700562,0.695027232170105,6.053869247436523,0.9092624187469482,-0.01452756579965353,-0.014073126018047333
0,10,13,0.5523954629898071,0.3542729616165161,0.8987550735473633,0.6142129302024841,5.651029586791992,1.0145012140274048,0.06074671447277069,-0.007501301355659962
0,11,14,0.5576795339584351,0.21720406413078308,0.9060570597648621,0.7151029109954834,6.880001544952393,0.8247399926185608,-0.054756149649620056,0.04328079894185066
0,12,16,0.570048987865448,0.2919720709323883,0.8818684816360474,0.7248560190200806,6.200259685516357,1.028120994567871,0.006336237769573927,-0.021239835768938065
0,13,17,0.4986802935600281,0.21652686595916748,0.9150684475898743,0.7514457106590271,5.807182312011719,1.00094473361969,-0.011221656575798988,0.008306390605866909
0,14,18,1.011553406715393,0.3607145845890045,0.8150662183761597,0.711162805557251,8.072619438171387,1.283722162246704,0.2065475732088089,-0.02138141170144081
0,15,19,0.39364105463027954,0.2969478964805603,0.9944013953208923,0.617379367351532,39.094322204589844,1.0950169563293457,0.010165581479668617,-0.003553633810952306
0,16,21,0.42559218406677246,0.2694915533065796,0.9213284254074097,0.7600737810134888,6.251626491546631,1.258320927619934,-0.012940456159412861,0.01769641973078251
0,17,22,0.3984749913215637,0.49843764305114746,0.9173130989074707,0.5897839069366455,4.74616813659668,1.3690366744995117,0.023823928087949753,-1.4421704690903425e-05
0,18,23,0.4253675937652588,0.3026829659938812,0.94330894947052,0.7401849031448364,7.720560073852539,1.2077847719192505,-0.09200732409954071,0.00045014964416623116
0,19,25,0.37413454055786133,0.3817545175552368,0.9332766532897949,0.7129036784172058,5.236938953399658,1.596343755722046,0.005753350909799337,0.009904351085424423
0,20,26,0.41673171520233154,0.5959438681602478,0.9208199977874756,0.6183393597602844,4.688976764678955,1.6855950355529785,0.10483647882938385,0.0018209402915090322
0,21,27,0.3867073059082031,0.4707314372062683,0.9150911569595337,0.7380493879318237,22.040061950683594,1.884840965270996,-0.03311527520418167,0.015397358685731888
0,22,29,0.5568949580192566,0.8074135184288025,0.9051533937454224,0.5385891199111938,7.105763912200928,1.9755427837371826,0.005003707483410835,0.0008503603166900575
0,23,30,0.4055534601211548,0.8757500648498535,0.9233711957931519,0.6985686421394348,4.832710266113281,3.1035561561584473,-0.02547137811779976,-0.0037043627817183733
0,24,31,0.4761393666267395,1.6496623754501343,0.906356930732727,0.609207272529602,5.455577850341797,4.6727752685546875,-0.04700109735131264,-0.004812177270650864
